doc_id,title,year,plot
doc_018,Pulp Fiction,1994,"The lives of two mob hitmen, a boxer, a gangster's wife and a pair of diner robbers intertwine in a nonlinear series of violent and darkly comic Los Angeles crime stories."
doc_019,Titanic,1997,"In 1912, aristocratic Rose and penniless artist Jack fall in love aboard the doomed ocean liner Titanic on its maiden voyage, only for the ship to strike an iceberg and sink in the North Atlantic."
doc_020,The Matrix,1999,"Hacker Neo learns that reality is a simulation created by machines to subdue humanity. Freed by the rebel Morpheus, he trains to fight the Agents and comes to believe he is the prophesied 'One'."
doc_021,Forrest Gump,1994,"A slow-witted but kind-hearted man from Alabama inadvertently influences several defining moments of 20th-century American history while pining for his childhood sweetheart, Jenny."
doc_022,Jurassic Park,1993,"A wealthy entrepreneur secretly creates a theme park populated by cloned dinosaurs. When the security systems fail during a preview tour, the animals break loose and hunt the visitors."
doc_023,The Lion King,1994,"A young lion prince named Simba flees his kingdom after the murder of his father by his uncle Scar. Years later he returns as an adult to reclaim his rightful place as king of the Pride Lands."
doc_024,Gladiator,2000,"Roman general Maximus is betrayed when the corrupt Commodus murders his father and seizes the throne. Enslaved and forced to fight as a gladiator, Maximus seeks revenge and the restoration of the Republic."
doc_025,Interstellar,2014,"As a blight renders Earth increasingly uninhabitable, former pilot Cooper leads an expedition through a wormhole near Saturn in search of a new home for humanity, at the cost of years away from his children."
doc_026,The Departed,2006,"An undercover state trooper infiltrates a Boston Irish mob while a mole planted by the same crime boss rises within the police. Each side races to expose the other's informant."
doc_027,Parasite,2019,"The impoverished Kim family schemes their way into working for the wealthy Park household by posing as unrelated, qualified professionals, until a hidden secret in the house upends their plan."
doc_028,Whiplash,2014,"An ambitious young jazz drummer at an elite conservatory is pushed to the brink by Fletcher, a ruthless instructor who uses abuse and manipulation in his search for greatness."
doc_029,Mad Max: Fury Road,2015,"In a post-apocalyptic desert, drifter Max is captured by the warlord Immortan Joe and ends up aiding Furiosa, who is fleeing across the wasteland with Joe's five enslaved wives in a war rig."
doc_030,Blade Runner 2049,2017,"K, a replicant blade runner for the LAPD, uncovers evidence that a replicant once gave birth. His investigation leads him to Rick Deckard and forces him to question his own origins."
doc_031,No Country for Old Men,2007,"A hunter stumbles on the aftermath of a drug deal gone wrong and takes a satchel of cash, drawing the relentless hitman Anton Chigurh after him while an aging sheriff trails them both."
doc_032,Fight Club,1999,"An insomniac office worker and a charismatic soap salesman named Tyler Durden form an underground fight club that evolves into an anti-consumerist militant movement, with a twist about their identities."
doc_033,The Social Network,2010,"Harvard student Mark Zuckerberg creates the website that becomes Facebook, and the ensuing success brings lawsuits from his co-founder and from twin classmates who accuse him of stealing their idea."
doc_034,La La Land,2016,"In Los Angeles, aspiring actress Mia and jazz pianist Sebastian fall in love while pursuing their creative ambitions, straining their relationship as their careers pull them in different directions."
doc_035,Get Out,2017,"A young Black photographer visits the family estate of his white girlfriend and gradually discovers that the unnervingly welcoming household is hiding a sinister plot involving its Black staff."
doc_036,Dune,2021,"Paul Atreides and his family are assigned stewardship of the desert planet Arrakis, the only source of the spice melange. Betrayed by a rival house, Paul flees into the desert and allies with the native Fremen."
doc_037,The Prestige,2006,"Two rival stage magicians in Victorian London become locked in an escalating and destructive obsession to master the ultimate illusion, each willing to sacrifice everything to outdo the other."
doc_038,Arrival,2016,"Linguist Louise Banks is recruited to communicate with extraterrestrial visitors whose ships have appeared around the world. Learning their language begins to change how she perceives time."
doc_039,Django Unchained,2012,"In the antebellum South, a freed slave named Django partners with a bounty hunter and sets out to rescue his wife from a brutal Mississippi plantation owner."
doc_040,Goodfellas,1990,"Henry Hill rises through the ranks of a New York Mafia crew from the 1950s to the 1980s, chronicling the seductions and brutality of mob life until cocaine and paranoia bring it all down."
doc_041,Se7en,1995,"Two detectives, a retiring veteran and a hot-headed newcomer, hunt a serial killer who stages elaborate murders around the seven deadly sins."
doc_042,The Silence of the Lambs,1991,"FBI trainee Clarice Starling seeks the help of imprisoned cannibal Hannibal Lecter to catch another serial killer, 'Buffalo Bill', who skins his female victims."
doc_043,Back to the Future,1985,"Teenager Marty McFly is accidentally sent back to 1955 in a time-traveling DeLorean built by his friend Doc Brown, where he must ensure his teenage parents fall in love to secure his own existence."
doc_044,Alien,1979,"The crew of the commercial towing ship Nostromo answers a distress signal and unwittingly brings aboard a parasitic alien organism that grows and hunts them one by one."
doc_045,The Grand Budapest Hotel,2014,"Concierge Gustave H. and his protege Zero become entangled in the theft of a priceless painting and a battle over a family fortune amid the rising tension of a fictional prewar European state."
doc_046,Everything Everywhere All at Once,2022,"Overwhelmed laundromat owner Evelyn is swept into a multiverse adventure in which she must connect with parallel versions of herself to stop a nihilistic being from destroying all realities."
